,subject,trick,duration,memory,time
0,1,1,8,0,0
0,1,2,5,0,0
0,1,3,2,0,0
0,1,4,4,1,0
0,1,5,4,1,0
0,1,6,4,1,0
0,1,7,9,0,0
0,1,8,9,1,0
0,2,1,15,0,0
0,2,2,6,1,0
0,2,3,7,1,0
0,2,4,0,0,0
0,2,5,8,1,0
0,2,6,0,1,0
0,2,7,10,0,0
0,2,8,22,1,0
0,8,1,15,0,0
0,8,2,5,0,0
0,8,3,8,1,0
0,8,4,9,0,0
0,8,5,0,1,0
0,8,6,0,1,0
0,8,7,0,0,0
0,8,8,26,1,0
0,12,1,13,0,0
0,12,2,5,0,0
0,12,3,6,1,0
0,12,4,4,1,0
0,12,5,8,1,0
0,12,6,10,0,0
0,12,7,10,0,0
0,12,8,25,1,0
0,15,1,7,0,0
0,15,2,7,0,0
0,15,3,8,1,0
0,15,4,6,1,0
0,15,5,0,1,0
0,15,6,0,1,0
0,15,7,6,0,0
0,15,8,7,1,0
0,16,1,17,0,0
0,16,2,7,1,0
0,16,3,6,1,0
0,16,4,0,1,0
0,16,5,0,1,0
0,16,6,8,1,0
0,16,7,9,0,0
0,16,8,26,1,0
0,17,1,18,0,0
0,17,2,5,1,0
0,17,3,8,1,0
0,17,4,5,1,0
0,17,5,5,1,0
0,17,6,0,1,0
0,17,7,12,1,0
0,17,8,0,1,0
0,18,1,9,0,0
0,18,2,8,0,0
0,18,3,7,0,0
0,18,4,10,1,0
0,18,5,7,1,0
0,18,6,0,1,0
0,18,7,19,1,0
0,18,8,0,1,0
0,19,1,17,0,0
0,19,2,6,1,0
0,19,3,6,1,0
0,19,4,0,0,0
0,19,5,9,1,0
0,19,6,0,1,0
0,19,7,12,0,0
0,19,8,26,1,0
0,21,1,18,0,0
0,21,2,8,1,0
0,21,3,8,0,0
0,21,4,10,1,0
0,21,5,9,1,0
0,21,6,0,0,0
0,21,7,12,1,0
0,21,8,23,1,0
0,26,1,18,1,0
0,26,2,6,0,0
0,26,3,5,1,0
0,26,4,10,1,0
0,26,5,0,1,0
0,26,6,7,1,0
0,26,7,11,1,0
0,26,8,27,1,0
0,30,1,0,0,0
0,30,2,0,1,0
0,30,3,6,0,0
0,30,4,0,1,0
0,30,5,7,1,0
0,30,6,0,1,0
0,30,7,8,1,0
0,30,8,23,1,0
0,31,1,12,0,0
0,31,2,3,0,0
0,31,3,8,0,0
0,31,4,8,0,0
0,31,5,10,1,0
0,31,6,7,0,0
0,31,7,14,1,0
0,31,8,24,1,0
0,32,1,14,0,0
0,32,2,6,0,0
0,32,3,5,1,0
0,32,4,9,1,0
0,32,5,10,1,0
0,32,6,9,1,0
0,32,7,15,1,0
0,32,8,12,0,0
0,33,1,14,1,0
0,33,2,0,0,0
0,33,3,4,0,0
0,33,4,8,1,0
0,33,5,6,1,0
0,33,6,0,1,0
0,33,7,15,1,0
0,33,8,10,1,0
0,34,1,3,0,0
0,34,2,0,1,0
0,34,3,0,0,0
0,34,4,6,0,0
0,34,5,3,1,0
0,34,6,6,1,0
0,34,7,11,1,0
0,34,8,8,0,0
0,37,1,0,1,0
0,37,2,0,1,0
0,37,3,0,1,0
0,37,4,7,0,0
0,37,5,8,1,0
0,37,6,7,1,0
0,37,7,9,1,0
0,37,8,10,1,0
